Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
The Bahamas,BHS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,0.921909234,0.353469259,3.960873783,1.154678348,1.194529963,5.056748709,0.827941837,2.947514507,1.488942038,-1.036553462,-0.3926783,-0.858336036,3.267287945,1.525173929,2.563802832,7.048172589,1.1322123,1.707979271,0.679493635,..
The Bahamas,BHS,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0.921909234,0.353469259,3.960873783,1.154678348,1.194529963,5.056748709,0.827941837,2.947514507,1.488942038,-1.036553462,-0.3926783,-0.858336036,2.105634286,1.525173929,2.563802832,7.048172589,1.1322123,1.707979271,0.679493635,..
The Bahamas,BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.961999893,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,14.83600044,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,9.800000191,10,10.35999966
The Bahamas,BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,..,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,..,..,..
The Bahamas,BHS,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36830409,-12.99438507,7.438575174,9.736854916,3.014659021,0.384304373,-1.671111233,-9.369182507,0.133799316,5.842594648,4.669617251,..
Bahrain,BHR,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36830409,-12.99438507,7.438575174,9.736854916,3.014659021,0.384304373,-1.671111233,-9.369182507,0.133799316,5.842594648,4.669617251,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.465999961,1.478000045,1.203999996,1.228000045,1.297999978,0.998000026,0.824999988,0.640999973,0.609000027,1.080000043,1.129999995,1.274000049,1.200000048,1.322999954,1.169999957,1.129999995,0.91900003,0.700999975,0.649999976,0.713999987
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,5.599999905,3.700000048,4,1.129999995,4,1.200000048,..,..,..,..,..,..,..
Bahrain,BHR,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
